words,rater1,rater2,rater3
lust',e,e,E
man',n,n,A
marijuana',n,n,E
marshmallow',n,n,E
me',n,e,A
meme',n,e,N
mercy',a,e,E
metamorphosis',n,n,E
moist',n,a,E
mommy',n,e,A
monkey',n,n,A
morality',e,e,A
mortal',e,a,E
mother',n,n,A
motherfucker',n,n,N
murder',n,n,A
narwhal',n,n,N
needle',n,n,N
nonsense',n,e,N
noob',n,n,A
nose',n,n,N
noteworthy',n,a,E
obese',n,a,E
octopus',n,n,A
omg',n,n,N
one',n,n,N
onomatopoeia',n,a,N
oops',n,n,E
orc',n,n,A
organic',n,n,N
original',n,n,N
orthodontic',n,n,N
otaku',n,n,N
outlandish',n,n,N
outside',n,n,N
pain',e,e,E
painter',n,n,A
pajamas',n,n,N
pancake',n,n,N
pandemic',n,n,N
pangea',n,n,N
paradox',n,n,N
passion',e,e,E
penguin',n,n,A
penis',n,n,E
perception',e,a,E
person',a,n,A
personality',e,e,A
philanthropy',n,e,N
philosophy',n,n,N
pie',n,n,N
pizza',n,n,N
platypus',n,n,A
please',n,e,A
polite',a,e,A
pomegranate',n,n,N
pontificate',a,e,A
poop',n,n,A
poopy',n,n,N
popcorn',n,n,N
potato',n,n,N
potatoes',n,n,N
pray',n,e,A
prayer',n,n,A
precise',n,a,N
pregnancy',n,n,E
primordial',n,n,N
pudding',n,n,N
puppy',n,n,A
pussy',n,n,E
rabbit',n,n,A
rad',n,n,N
rage',e,e,E
random',n,n,N
rapport',n,e,N
rapture',e,n,N
reason',a,a,A
reasoning',a,a,A
reference',n,n,N
religion',e,e,N
requiem',n,n,N
resonance',n,n,N
retard',n,a,N
riddle',n,a,N
ridiculous',n,n,E
robot',n,n,A
rocking',n,n,A
run',n,n,A
sacred',e,n,N
sadness',e,e,E
salvation',e,n,E
sasquatch',n,n,N
sausage',n,n,N
scared',e,e,E
scintillating',e,n,N
sensitivity',e,e,E
sentience',e,e,A
serendipity',n,n,E
set',n,n,N
sex',n,n,A
shenanigans',n,n,N
shit',n,n,A
shitty',n,n,N
shorty',n,n,N
singularity',n,n,N
sketch',n,n,N
smegma',n,n,N
smell',n,n,E
smile',n,e,A
smurf',n,n,N
snowman',n,n,N
soft',e,e,E
soul',e,e,E
spiritual',e,e,E
spud',n,n,N
succinct',n,n,N
succumb',n,n,N
suffering',e,e,E
sunset',n,n,N
sunshine',n,n,N
supercalifragilisticexpialidocious',n,n,N
superficial',n,n,N
superfluous',n,n,N
survival',n,n,A
swagger',n,n,A
swanky',n,n ,N
swift',n,n,N
sympathy',e,e,A
taco',n,n,N
talk',a,n,A
tantamount',n,n,N
terminator',n,n,A
testicles',n,n,E
thanks',n,n,A
the',n,n,N
thesaurus',n,n,N
thing',n,n,N
think',a,a,A
thinking',a,a,A
thought',a,a,A
thoughtfulness',a,e,A
tired',e,n,E
titmouse',n,n,N
tits',n,n,E
toy',n,n,N
triumph',e,n,A
trucking',n,n,N
true',n,n,N
trust',n,n,N
tweet',n,n,A
twerk',n,n,A
ubuntu',n,n,N
unicorn',n,n,A
unknown',n,n,N
vagina',n,n,E
vivid',e,n,E
waffle',n,n,N
water',n,n,N
weirdo',n,e,A
what',n,a,N
whatever',n,e,N
why',n,n,N
wi-fi',n,n,N
word',n,n,N
work',n,a,N
worthy',e,e,N
xylophone',n,n,N
yahweh',n,n,N
yolo',n,n,N
zebra',n,n,A
