,wordChosen,catch1,catch2,gender,age,wordPair
121,1,human,robot,2,21,4|1
122,4,human,robot,1,21,4|10
123,7,human,robot,1,43,6|7
124,1,human,robot,1,32,1|2
125,6,human,robot,2,38,2|6
126,6,human and robot,robot,1,28,4|6
127,5,human,robot,2,30,10|5
128,8,human,robot,1,31,8|6
129,6,human,robot,1,29,5|6
130,4,human,robot,1,28,3|4
131,5,human,robot,1,27,1|5
132,4,human,robot,2,30,6|4
133,3,human,robot,1,21,3|6
134,9,human,robot,2,30,9|8
135,4,human,robot,,32,5|4
136,4,human,smart robot,1,40,4|3
138,4,Human.,robot.,1,29,4|8
139,5,human,robot,2,28,5|10
140,1,human,robot,1,28,7|1
141,5,human,robot,1,27,8|5
142,4,human,robot,2,63,4|7
143,7,human,robot,2,38,7|5
144,9,human,robot,2,48,9|5
145,1,human,robot,2,38,3|1
146,7,human,robot,2,22,7|3
147,1,human,robot,1,28,8|1
148,1,human,robot,1,30,6|1
149,10,human,robot,1,44,8|10
150,7,human,robot,1,24,9|7
151,4,human`,robot,1,23,4|2
152,6,human,mr roboto,1,20,6|9
153,1,human,robot,2,20,1|9
155,9,human,robot,1,60,9|3
156,7,human,robot,2,33,7|8
157,9,human,smart robot,1,41,8|9
158,7,human,robot,2,33,2|7
159,9,human,robot,2,33,2|9
160,5,human,robot,1,31,4|5
161,5,human,robot,1,31,5|9
162,8,human,robot,1,22,2|8
163,10,human,robot,2,54,9|10
164,3,human,robot,2,30,3|2
165,1,human,smart robot,2,31,1|8
166,10,human,robot,1,21,1|10
167,4,human,robot,1,29,9|4
168,10,Human,Robot,1,29,6|10
169,7,human,robot,1,49,7|2
170,7,HUMAN,ROBOT,2,38,3|7
171,5,human,robot,2,37,5|3
172,7,human,robot,1,49,7|9
174,6,human,robot,2,30,6|8
176,5,Human,Robot,1,22,5|8
177,5,human,robot,1,27,5|3
178,4,Human,Robot,1,30,4|6
179,4,human,robot,1,40,10|4
180,1,human,robot,2,31,3|1
181,3,human,robot,2,36,3|8
182,1,human,robot,2,26,1|6
183,1,human,robot,1,20,1|3
184,9,human,robot,1,35,3|9
185,4,human,robot,1,33,4|7
186,6,human,robot,2,25,3|6
188,5,human,smart robot,2,25,10|5
189,5,human,smart robot,1,21,6|5
190,7,human,robot,2,27,7|5
191,6,human,robot,1,38,9|6
192,2,human,smart robot,2,18,2|10
193,7,human,robot,2,47,5|7
194,4,human,robot,1,52,8|4
195,9,human,robot,2,54,7|9
196,3,human,robot,2,37,10|3
197,2,Human,Robot,1,25,10|2
198,2,human,smart robot,1,31,2|3
199,2,human.,smart robot.,2,33,5|2
200,7,Human,Robot,1,63,9|7
201,4,human,robot,1,33,6|4
202,1,human,robot,1,32,8|1
203,3,human,robot,2,58,8|3
204,1,human,robot,2,24,10|1
205,6,Human,Robot,1,29,6|10
207,7,human,robot,2,22,1|7
208,7,human,robot,2,40,7|2
209,8,human,robot,1,30,8|6
212,9,human,robot,2,61,9|8
215,5,human,robot,1,34,5|1
217,8,human and robot,robot,1,24,2|8
218,1,human,robot,2,24,6|1
219,8,human,robot,1,29,1|8
220,4,human,robot,2,34,4|2
221,7,human,robot,1,32,7|1
223,10,HUMAN,ROBOT,2,25,3|10
224,7,human,robot,1,19,8|7
225,9,human,robot,2,41,9|3
226,1,human,robot,2,28,1|9
227,7,Human,Robot,2,27,10|7
228,9,human,robot,1,24,2|9
229,9,human,robot,1,33,9|1
230,7,Human,Robot,1,28,7|8
231,5,human,robot,2,51,4|5
233,8,human,robot,1,29,8|2
235,7,human,robot,1,25,6|7
236,1,human,smart robot,1,28,1|4
237,7,human,robot,1,28,7|6
238,5,human,computer,1,39,8|5
239,5,Human,Smart Robot,2,36,5|10
240,6,human,smart robot,1,27,6|2
243,4,human,robot,1,30,4|8
244,9,human,robot,2,28,9|5
245,9,human,robot,2,59,10|9
246,10,human,robot,2,37,8|10
247,5,human,robot,1,32,5|9
248,2,human,robot,2,26,2|1
249,5,human,robot,2,30,3|5
250,6,human,robot,2,28,6|3
251,4,human,robot,2,37,7|4
252,5,human,robot,2,24,2|5
253,9,human,smart robot,2,47,8|9
254,2,Human,Robot,2,26,2|7
256,6,human,robot,2,25,5|6
257,9,human,robot,1,34,9|5
258,4,human,robot,2,41,4|8
259,6,human,robot,2,38,6|3
260,6,Human,robot,1,43,6|2
262,5,human,robot,1,25,3|5
263,1,human,robot,3,26,1|2
264,7,human,robot,2,26,6|7
265,4,human,robot,1,51,4|5
266,1,human,robot,2,49,8|1
268,5,human,robot,2,52,5|1
269,4,human,smart robot,2,37,7|4
270,2,human,robot,2,54,8|2
271,1,the human,a smart robot,2,50,4|1
272,1,human,robot,1,22,1|5
274,8,human,robot,2,32,8|6
275,8,human,robot,1,43,8|7
279,6,human,smart robot,2,38,6|10
289,1,human,robot,2,63,1|9
290,4,Human,robot,2,49,3|4
291,8,human,robot,1,45,2|8
292,10,human,robot,2,57,2|10
295,4,HUMAN,ROBOT,1,72,4|10
296,8,human,robot,2,39,1|8
297,1,human,robot,2,30,3|1
298,10,human.,robot.,1,31,10|8
299,1,human,robot,1,29,1|4
300,2,Human,robot,1,33,2|1
301,1,human,robot,1,38,1|6
302,5,human,robot,2,28,7|5
303,7,human,robot,1,37,7|3
304,7,human,robot,2,28,7|6
305,6,human,smart robot,1,26,4|6
306,8,human,robot,2,22,8|9
307,9,human,robot,2,47,2|9
308,2,human,robot,1,33,2|5
309,4,human,robot,1,29,4|9
310,4,human,robot,2,35,4|2
311,4,human,smart robot,1,30,6|4
312,10,human,smart robot,1,47,10|6
313,2,human,smart robot,1,40,2|7
314,9,human,robot,1,36,9|6
315,7,human,robot,2,37,7|8
317,8,Human,Robot,2,30,8|5
318,9,human,robot,1,33,9|8
322,9,human,robot,1,36,3|9
323,9,human,robot,2,43,9|3
324,10,human,robot,2,37,1|10
325,4,human,robot,1,47,8|4
326,9,human,robot,2,35,9|2
327,5,human,robot,2,50,5|4
328,6,human,robot,2,24,2|6
330,7,human,robot,1,54,10|7
331,4,human,smart robot,2,51,10|4
332,3,human,robot,2,40,8|3
333,5,human,robot,1,44,5|10
334,3,human,robot,2,51,3|7
335,1,HUMAN,ROBOT,1,39,1|7
336,9,human,robot,2,37,6|9
337,7,HUMAN,ROBOT,2,26,7|1
338,7,human,robot,2,50,7|9
340,3,human,robot,1,42,10|3
341,5,human,smart robot,1,30,5|2
343,5,human,robot,2,26,10|5
344,7,human,smart robot,1,42,4|7
345,7,human,robot,2,27,7|10
347,3,human,robot,2,38,3|8
348,3,human,robot,1,42,4|3
349,4,human,robot,2,46,2|4
350,7,human,robot,1,28,9|7
351,6,human,robot,2,30,6|8
353,9,human,robot,2,35,10|9
354,3,human and robot,robot,1,54,2|3
355,2,human,robot,2,31,7|2
356,6,human,robot,1,29,3|6
357,3,human,robot,1,26,3|4
358,7,human,robot,1,38,2|7
359,10,human,smart robot,1,37,10|5
360,1,human,robot,2,34,1|6
364,8,human and robot,robot ,1,23,6|8
365,9,human,robot,1,18,9|7
366,1,human,robot,2,33,1|7
367,10,human,robot,2,23,8|10
368,10,human and robot.,robot,1,34,8|10
369,7,human,robot,1,43,7|10
370,9,human,robot,2,37,6|9
371,7,human,robot,2,43,7|4
372,1,human,robot,1,49,1|4
374,8,Human,Robot,2,34,10|8
375,4,human,robot,2,54,10|4
377,9,human,robot,2,35,2|9
378,4,human,robot,1,44,4|2
379,4,human,robot,1,60,4|5
380,5,human,robot,2,48,5|10
381,4,human,robot,1,19,9|4
382,7,human,robot,1,43,3|7
383,3,human,smart robot,1,42,4|3
384,1,human,robot,1,41,9|1
385,8,HUMAN,ROBOT,2,35,8|7
387,7,HUMAN,ROBOT,2,34,7|2
388,3,Human,Robot,1,28,3|8
389,6,human,robot,2,27,2|6
390,7,human,robot,1,48,7|3
391,5,human,robot,1,27,5|8
392,2,human,robot,2,30,6|2
397,3,human,robot,2,49,2|3
400,3,human,robot,1,32,3|9
402,6,human,robot,2,30,6|7
403,6,Human,Smart Robot,2,50,8|6
404,2,human,robot,2,24,2|10
407,9,human,robot,2,23,8|9
408,4,human,robot,1,34,4|9
409,5,human,robot,1,29,5|2
410,9,human,robot,1,30,9|3
411,3,human,robot,1,41,8|3
412,5,human,robot,2,44,6|5
413,9,human,robot,1,41,7|9
415,5,human,robot,2,22,5|9
416,4,human,smart robot,2,23,4|8
418,1,Human and smart robot,Smart robot,2,43,1|9
422,10,human,robot,2,28,3|10
424,1,human,smart robot,2,48,7|1
426,6,human,smart robot,2,46,4|6
427,1,human,robot,2,50,4|1
428,3,human,robot,2,49,3|5
429,4,human,robot,2,25,5|4
430,7,human,robot,2,53,7|8
431,10,HUMAN,ROBOT,1,60,1|10
432,5,human,smart robot,1,26,8|5
433,8,humand and robot,robot,1,22,8|2
434,10,human,robot,1,33,9|10
436,1,human,smart robot,1,36,1|3
437,1,human,robot,2,34,1|2
438,1,human,robot,2,28,5|1
439,3,human,robot,2,28,10|3
440,7,human,robot,1,29,7|6
441,4,human,robot,2,33,8|4
443,2,human,robot,1,40,9|2
444,9,human,robot,1,27,10|9
445,9,human,robot,2,62,9|6
446,2,Human,Robot,2,27,2|4
447,6,human,robot,2,35,3|6
448,1,human,robot ,2,56,1|3
449,3,human,robot,1,34,3|1
450,6,human,robot,1,30,6|2
452,5,human,robot,2,31,2|5
453,10,human,smart robot,1,38,1|10
454,1,human,robot,2,46,9|1
455,9,human,robot,2,24,4|9
456,5,human,robot,2,54,7|5
457,8,human,robot,2,29,8|7
461,2,human,smart robot,2,44,3|2
462,4,HUMAN,ROBOT,2,51,4|10
463,5,human,robot,2,52,5|8
464,8,human,robot,1,30,6|8
465,9,human,robot,1,31,2|9
466,6,human,robot,2,64,2|6
467,8,Human,Robot,1,41,8|4
468,9,human,robot,2,68,1|9
469,7,human,robot,2,33,7|8
471,6,human,robot,2,53,7|6
472,6,human,robot,2,65,6|3
475,1,human,smart robot,2,63,1|4
476,1,human,robot,1,26,1|8
477,8,human,robot,2,65,2|8
478,4,human,robot,1,37,2|4
479,4,human,robot,2,22,4|8
480,3,Human,Robot,1,20,3|5
482,5,human,robot,2,45,9|5
484,1,human,robot,2,21,1|7
485,5,human,robot,2,32,5|10
486,8,human,robot,1,56,8|2
489,9,human,robot,2,43,9|7
490,3,human,robot,2,24,3|8
491,6,Human,smart robot,1,38,3|6
492,7,human.,smart robot.,1,26,4|7
493,3,human,smart robot,1,18,3|10
494,8,human,robot,1,30,8|6
495,7,human,robot,1,56,6|7
496,1,human,robot,1,56,10|1
497,3,human,robot,2,53,4|3
498,10,HUMAN,ROBOT,2,57,10|8
499,1,human,robot,2,35,1|2
500,4,human,robot,2,27,6|4
501,10,human,robot,2,57,10|2
502,4,human,robot,1,21,5|4
503,7,human and robot,robot,2,49,7|2
504,8,human,robot,1,25,8|9
505,3,human,robot,1,33,10|3
506,7,human,robot,2,39,7|10
508,10,Human,Robot,2,34,10|5
509,4,Human,Robot,2,27,9|4
510,10,Human,Smart Robot,1,27,6|10
511,8,human,robot,2,60,9|8
512,1,human,robot,2,55,6|1
513,3,human,robot,2,29,3|7
514,1,human,robot,2,24,1|6
515,5,Human,Robot,1,45,5|6
516,7,human,robot,2,58,2|7
517,9,human,robot,1,20,9|6
519,9,human,robot,1,44,9|10
520,5,HUMAN,ROBOT,2,26,5|1
521,5,human,robot,1,43,5|3
522,3,human,robot,2,22,8|3
523,5,human,robot,2,62,5|2
525,5,human,robot,1,22,4|5
526,8,human,robot,1,23,8|1
527,6,human,robot,1,44,10|6
528,5,human,robot,1,22,5|9
529,9,human,smart robot,2,53,9|2
530,4,human,robot,2,29,3|4
532,9,Human,Smart Robot,2,27,10|9
533,2,human,robot,2,34,2|10
534,7,human,smart robot,1,23,7|4
535,4,human,robot,1,28,4|2
536,7,human,robot,1,27,7|3
537,7,human,robot,2,49,10|7
538,4,HUMAN,ROBOT,1,41,10|4
539,6,human,robot,2,27,6|9
540,4,human,robot,1,30,4|8
541,4,Human,Robot,1,24,4|6
542,1,human,smart robot,1,37,9|1
543,6,human,robot,1,30,6|4
544,6,human,robot,1,36,6|1
545,8,human,robot,2,27,10|8
546,1,human,robot,2,22,1|5
547,1,human,robot,1,26,1|3
548,4,human,robot,2,38,4|9
551,3,human,robot,2,52,6|3
552,2,human,robot,1,47,3|2
553,4,human,robot,2,23,4|3
554,7,human,robot,2,29,2|7
555,2,human,robot,1,29,8|2
556,1,human and robot,robot,1,31,8|1
557,7,human,robot,1,20,7|9
558,9,human,robot,1,44,9|7
559,6,human,robot,1,28,6|5
560,10,human,robot,1,25,7|10
561,5,human,robot,2,22,5|3
562,9,human,robot,2,38,2|9
564,3,human,robot,1,47,2|3
565,4,human,robot,1,39,2|4
566,6,human,robot,2,26,6|8
568,4,human,robot,2,46,8|4
570,8,human,robot,2,35,8|5
571,9,human,robot,2,49,9|5
572,10,human,robot,2,44,10|2
573,4,human,robot,1,25,3|4
574,9,human,robot,1,39,10|9
575,1,Human,Robot,2,41,2|1
576,10,human,smart robot,2,36,10|6
577,5,human,smart robot,1,28,5|10
578,7,human,robot,1,38,7|1
579,9,human,robot,1,36,9|3
580,1,human,robot,2,37,1|6
581,9,human,robot,1,25,9|10
582,9,human,robot,1,32,9|2
583,3,human,robot,2,23,7|3
584,1,human ,robot,2,30,1|10
585,10,human,robot,1,28,10|3
586,8,human,robot ,2,28,2|8
588,4,human and robot,robot,1,64,4|7
589,7,human,smart robot,2,30,10|7
590,6,human,robot,2,25,2|6
591,9,human,robot,2,33,9|8
592,9,human,robot,1,23,5|9
593,3,human,robot,1,25,3|10
594,1,human,smart robot,2,34,3|1
595,2,human,robot,2,19,5|2
596,2,human,robot,1,52,2|5
597,3,human,robot,1,33,3|6
598,5,human,robot,2,37,10|5
599,2,human,robot,1,37,7|2
600,5,Human,Robot,1,21,3|5
601,5,human,robot,1,33,5|8
602,7,human,computer,1,23,1|7
603,7,human,robot,1,27,6|7
605,9,human,robot,2,42,8|9
606,1,human,robot,1,31,1|9
607,4,human,robot,2,52,4|5
608,6,human,robot,2,32,5|6
609,10,Human,Robot,1,31,6|10
610,1,human,robot,2,60,1|8
611,6,human,robot,1,29,6|2
612,4,one I think is human.,robot,2,35,4|10
613,1,human,robot,2,25,1|4
615,2,human,robot,2,50,4|2
616,7,human,robot,1,52,7|5
617,10,human,robot,1,29,8|10
618,6,human,robot,1,34,8|6
619,9,human,robot,1,27,6|9
620,8,human,smart robot,1,32,8|3
621,7,human,robot,2,59,3|7
622,7,human,Robot ,2,28,7|4
623,5,human,robot,2,33,5|7
624,5,human,robot,2,22,5|3
625,9,human,robot,2,54,9|10
626,4,human,robot,2,60,4|7
627,4,Human,Robot,2,46,7|4
628,1,Human,Robot,2,28,10|1
629,9,human,robot,2,52,9|6
631,5,human,robot,2,48,8|5
632,8,human,robot,1,30,3|8
633,7,human,robot,1,20,10|7
634,5,human,robot,1,24,5|8
636,6,human,robot,1,28,6|3
637,6,human,robot,1,34,8|6
638,4,human,robot,1,19,3|4
639,1,human,smart robot,2,61,8|1
640,9,human,robot,2,21,4|9
641,9,Human,Robot,1,35,6|9
642,2,human,robot,1,29,4|2
644,7,HUMAN,ROBOT,1,41,7|5
645,2,human and robot,robot,2,56,2|3
646,3,human,robot,1,35,3|10
647,5,human,robot,2,51,10|5
648,3,human,robot,1,30,3|6
649,1,human,robot,1,36,1|8
650,5,Human,Robot,2,32,3|5
651,7,human,robot,2,43,8|7
652,6,human,robot,1,43,5|6
655,8,human,robot,1,28,8|2
656,10,human,robot,1,50,1|10
657,9,human,robot,2,53,9|8
658,7,robot and human,robot,2,35,2|7
659,4,human,smart robot,2,42,4|1
660,5,human.,robot.,1,29,4|5
662,2,human,robot,1,39,9|2
663,9,human.,robot.,2,52,9|3
664,8,human,robot,2,35,6|8
665,6,human,robot,1,27,6|2
666,9,human,robot,2,25,1|9
667,3,human,smart robot,1,24,8|3
668,5,Human,Robot,1,33,6|5
677,4,human,robot,1,24,4|8
679,2,human,robot,2,27,2|8
680,10,human,robot,2,40,2|10
683,1,human,robot,1,27,1|3
684,4,human,robot,2,,2|4
685,6,human,robot,1,29,6|4
686,1,human,robot,2,43,9|1
689,1,Human,Robot,2,30,3|1
691,6,human,robot,1,32,6|10
692,7,human,smart robot,2,43,9|7
693,3,human,robot,2,49,3|9
694,10,human,robot,2,41,10|3
695,9,Human,Robot,1,34,9|5
697,1,human,robot,2,51,2|1
698,7,human,robot,2,23,7|3
700,9,human,robot,2,53,9|4
701,4,human,robot,2,35,10|4
702,7,human,robot,2,27,7|10
703,10,human,robot,1,22,8|10
704,5,human,robot,2,42,5|9
705,5,human,smart robot,2,25,5|10
706,4,human,robot,2,52,1|4
707,7,HUMAN,ROBOT,2,43,7|9
708,7,human,robot,1,18,6|7
710,1,human,robot,1,25,6|1
711,2,human or robot.,robot.,1,31,7|2
712,6,human,robot,1,36,7|6
713,8,human,robot,2,38,7|8
714,4,human,robot,1,27,4|6
715,9,human,robot,2,24,8|9
716,2,human,robot,1,31,2|5
717,10,human,robot,2,34,10|2
718,4,human,robot,1,42,8|4
719,9,human,robot,2,24,10|9
720,8,human,smart robot,1,28,10|8
722,6,human,robot,2,38,6|3
723,1,human,robot,2,45,4|1
724,10,human,robot,1,32,2|10
725,7,human,robot,1,36,7|10
726,4,Human,robot,1,29,4|8
727,6,human,robot,2,31,6|10
728,9,human,robot,1,55,3|9
729,9,human,robot,2,32,1|9
730,2,human,robot,1,27,2|3
731,9,human,smart robot,2,31,9|3
733,3,human,robot,2,38,3|8
734,3,human,robot,1,40,3|9
735,4,human,robot,2,18,9|4
736,8,Human,Robot,2,44,10|8
737,4,human,robot,2,37,4|6
738,4,human,robot,1,35,6|4
739,3,human,robot,2,32,3|9
740,5,human,robot,2,28,3|5
741,1,human,robot,1,34,1|3
742,6,human,robot,1,29,6|2
745,9,Human,Robot,2,24,2|9
746,5,robot or human,robot,1,60,3|5
747,4,human,robot,1,59,3|4
749,7,Human,Robot,1,25,7|2
750,1,human,robot,2,32,8|1
751,1,human,robot,1,35,10|1
752,9,human,robot,2,31,9|2
753,9,human,robot,1,27,2|9
754,6,human,robot,1,39,6|7
755,6,human,robot,1,64,10|6
756,3,Human,robot,1,31,3|2
757,2,human or robot,robot,1,23,4|2
758,7,human,robot,2,56,3|7
759,7,human,robot,2,23,7|5
760,5,human,robot,1,20,3|5
761,1,human,robot,1,21,5|1
762,7,human,robot,1,35,6|7
763,3,Human,Robot,1,24,9|3
767,1,human,robot,1,28,9|1
768,4,human,robot,2,27,4|5
770,8,human,robot,1,31,8|5
771,7,human and robot,robot,1,35,9|7
772,5,Human,Robot,1,23,5|6
773,4,Human,Robot,1,26,4|7
774,2,human,robot,1,21,10|2
775,6,human,robot,2,48,6|8
776,5,human,robot,2,25,5|1
777,7,human,robot,1,35,7|4
779,5,human,robot,2,38,6|5
780,8,Human,smart robot,1,24,8|10
781,2,human ,robot,1,22,2|10
782,7,human,robot,1,28,10|7
783,2,human,robot,1,21,2|6
784,4,human,robot,1,33,4|9
785,4,Human,Robot,1,29,10|4
786,1,human,robot,2,27,1|2
787,9,human,robot,1,19,9|5
788,9,human,robot,1,60,10|9
789,10,human,robot,2,27,1|10
790,1,human,robot,1,35,1|2
791,7,human,smart robot,1,23,8|7
792,6,human,robot,1,30,6|8
793,8,human,robot,1,53,8|3
795,4,human,smart robot,1,25,5|4
796,1,human,robot,1,41,6|1
797,1,Human,Robot,1,31,1|10
798,4,human and robot,robot,1,27,3|4
799,6,human,robot,1,24,6|1
800,5,human,robot,1,25,5|9
801,3,human,robot,1,42,3|2
802,8,human,robot,1,28,8|2
803,9,Human,Robot,1,23,6|9
804,5,human,robot,2,31,3|5
806,1,human,robot,2,41,8|1
807,4,human,robot,1,24,4|2
808,5,human,robot,2,30,5|4
809,4,Human,robot,2,21,8|4
810,1,human,robot,1,27,2|1
811,4,human,robot,2,47,1|4
812,10,human,robot,1,26,8|10
814,10,human,robot,1,29,10|1
815,6,human,robot,1,27,2|6
816,1,human,robot,2,26,1|3
817,9,human,robot,2,32,4|9
819,1,human,robot,2,24,7|1
820,4,human,robot,1,35,4|3
821,3,human,robot,2,27,6|3
822,1,human,robot,1,26,1|5
823,4,human,robot,2,35,4|6
824,7,HUMAN,SMART ROBOT,2,35,7|3
825,7,human and the robot.,robot.,1,43,7|2
826,5,human,robot,2,32,5|6
827,1,human and robot,robot,2,24,1|8
828,1,human,robot,1,40,1|8
829,4,human,robot,1,38,7|4
831,7,human,robot,1,31,7|3
832,4,human,robot,1,21,7|4
833,1,human,smart robot ,2,49,3|1
835,10,HUMAN,ROBOT,2,34,10|6
836,1,human,robot,1,35,7|1
837,7,human,robot,1,53,7|2
838,9,human,robot,2,38,9|2
839,3,the human,robot,2,62,3|1
840,9,human,smart robot,1,31,9|5
841,1,human,robot,2,28,6|1
842,7,human,robot,1,24,2|7
844,4,human,robot,1,36,4|2
845,6,HUMAN,SMART ROBOT,2,25,5|6
847,3,human,robot,1,32,2|3
849,8,human,robot,1,30,8|10
850,5,human,robot,2,26,5|4
851,9,human,robot,1,25,10|9
853,2,human,robot,2,21,2|10
854,9,unknown human or robot,robot,1,35,2|9
855,4,human,robot,1,20,9|4
856,8,Human,robot,2,29,8|4
857,9,Human,Robot,1,25,6|9
858,10,human,robot,1,45,9|10
859,5,Human,Robot,1,20,5|9
860,7,human ,robot ,1,33,8|7
861,2,human,robot,2,51,2|1
862,3,human,robot,1,22,3|4
863,1,human,robot,2,53,8|1
864,9,Human,Robot,1,30,7|9
866,5,human,robot,2,49,4|5
867,7,human,smart robot,2,22,3|7
868,1,Human,Robot,1,33,1|10
869,10,human,robot,1,33,10|2
870,5,human,robot,2,36,2|5
871,1,human,robot,2,22,1|7
872,7,human,robot,2,26,10|7
873,1,human,robot,1,28,1|6
874,2,human,robot,2,41,2|7
875,8,HUMAN ,SMART ROBOT ,2,27,8|2
876,8,human,robot,1,35,8|1
877,3,human,robot,2,23,5|3
878,1,human,robot,2,27,7|1
879,4,Human,robot,2,61,8|4
880,10,Human,Robot,1,31,2|10
881,4,human,robot,2,50,2|4
882,8,human,robot,2,26,7|8
883,7,human,robot,1,25,5|7
884,5,human,robot,2,23,10|5
885,7,Human,robot,2,25,7|3
886,2,human,robot,2,30,7|2
887,9,human,robot,1,28,8|9
888,6,human,smart robot,1,26,6|5
890,5,Human,Robot,1,34,5|9
891,6,human,robot,2,34,10|6
892,8,human,robot,1,29,8|3
893,6,human,robot,1,40,6|9
894,1,human,robot,1,33,2|1
895,7,human,robot,1,25,9|7
896,1,human,robot,2,44,1|4
897,6,human,robot,2,29,9|6
898,2,human,robot,1,22,6|2
899,7,human,robot,1,26,7|10
900,4,human,smart robot,1,19,10|4
901,9,human,robot,2,25,9|8
902,3,human,smart robot,1,27,3|1
903,6,human,robot,2,22,5|6
905,6,human,robot,1,44,8|6
906,4,human,smart robot,1,31,9|4
907,6,human,smart robot,2,32,4|6
908,5,human,smart robot,1,30,5|10
909,10,human,robot,2,23,8|10
910,2,Human,Robot,1,23,4|2
911,10,human,robot,1,26,10|9
912,3,Human,Robot,1,21,8|3
914,7,human,robot,1,26,7|1
915,6,human,robot,3,23,1|6
917,1,human,robot,1,29,1|3
918,1,human,smart robot,1,24,1|10
923,1,human,robot,1,19,1|9
924,8,robot and human,robot,2,41,8|9
925,7,human,robot,2,47,8|7
926,4,human,robot,2,45,2|4
928,4,human,robot,2,37,1|4
929,9,human,robot,2,21,9|10
930,8,Human,Robot,1,33,8|10
932,6,Human.,robot.,1,27,6|3
933,6,human,robot,2,21,6|2
934,3,human,smart robot,1,27,3|8
935,1,human,Robot,1,29,1|2
952,10,human,robot,1,38,10|6
963,2,human,robot,2,23,2|3
966,6,human,robot,1,40,5|6
967,1,human,robot,2,33,1|8
968,5,human,robot,1,29,6|5
969,7,human,robot,1,22,2|7
970,10,human,computer,1,28,5|10
971,4,human,robot,1,26,8|4
972,2,Human,Robot,1,28,2|10
973,4,human,robot,1,35,4|6
975,9,human,robot,1,43,9|4
976,1,human,robot,1,22,6|1
977,2,human,robot,2,24,2|8
978,7,human,robot,1,24,7|2
983,3,human,robot,1,23,3|2
984,5,human,robot,1,22,2|5
985,1,human. ,robot.,2,37,2|1
986,7,human,robot,2,49,7|9
987,7,human,robot,2,32,9|7
988,2,human,robot,1,37,2|6
990,4,human,robot,1,65,10|4
991,3,human,robot,2,21,3|1
992,3,human,robot,1,34,3|9
993,10,HUMAN,ROBOT,1,51,10|8
994,1,human,robot,1,37,9|1
995,7,human,robot,1,29,7|6
996,7,human,robot,1,27,1|7
997,7,human,smart robot,2,52,7|8
998,5,human,robot,2,48,4|5
999,10,human,robot,2,51,10|2
1000,2,human,robot,2,33,4|2
1001,5,human,robot,2,53,5|9
1002,5,human,smart robot,2,37,5|1
1003,4, robot and human,robot,2,26,3|4
1004,3,Human,robot,1,31,3|8
1005,4,human,smart robot,1,21,5|4
1006,1,human,robot,1,62,2|1
1008,9,human,robot,1,30,9|8
